Manufacturer SKU,UK Distributor SKU,German Distributor SKU,"EAN number
",Product Category,Product Description,EURO SRP,POUND SRP
62487,CBKD181,0.739.036/2,,Back Protection Pack,KUDU 18 Charcoal/Atomic Blue,199.95,159.95
62485,CBKD12B,0.739.032/1,,Back Protection Pack,KUDU 12 Black/Andean Toucan,197.95,139.95
62398,CBMNB,0.739.280/5,,Hydration Pack,MULE NV Black,139.95,109.95
62575,CBSKY10B,0.739.416/6,,Hydration Pack,Skyline 10 LR Black/Atomic Blue,129.95,99.95
62577,CBSKY103,0.739.417/4,,Hydration Pack,Skyline 10 LR Ember/Charcoal,129.95,99.95
62394,CBMLG,0.739.290/5,,Hydration Pack,MULE Charcoal,119.95,94.95
62392,CBML5,0.739.292/1,,Hydration Pack,MULE Barbados cherry,119.95,94.95
62556,CBMLG8,0.739.296/2,,Hydration Pack,MULE Charcoal/White ,119.95,94.95
62390,CBLBB,0.739.243/4,,Hydration Pack,LOBO Black,99.95,79.95
62552,CBLBG3,0.739.284/8,,Hydration Pack,LOBO Charcoal/Ember,99.95,79.95
62387,,,,Hydration Pack,Lobo 100 oz Charcoal/Atomic Blue ,99.95,79.95
62531,CBPAL4B,0.739.414/1,,Hydration Pack,Palos 4 LR Black/Atomic Blue,79.99,69.95
62532,CBPAL43,0.739.415/8,,Hydration Pack,Palos 4 LR Ember/Charcoal,79.99,69.95
62239,CBROGUEB,0.739.105/5,,Hydration Pack,Rogue Black,69.99,59.95
62241,,,,Hydration Pack,Rogue Racing Red,69.99,59.95
62242,CBROGUE2,0.739.108/9,,Hydration Pack,Rogue Lemon Green,69.99,59.95
62176,CBCLASSB,0.739.156/8,,Hydration Pack,Classic Black,59.99,49.95
62179,CBCLASS2,0.739.159/2,,Hydration Pack,Classic Lemon Green,59.99,49.95
62178,,,,Hydration Pack,Classic Racing Red,59.99,49.95
62202,,,,Hydration Pack,HydroBak 50 oz Black/Graphite,54.99,39.95
62205,,,,Hydration Pack,HydroBak 50 oz Lemon Green,54.99,39.95
62204,,,,Hydration Pack,HydroBak 50 oz Racing Red/Graphite,54.99,39.95
90763,CB90763,0.739.807/6,,Hydration Accessory,Antidote Reservoir 3L,42.95,34.95
90762,CB90762,0.739.806/8,,Hydration Accessory,Antidote Reservoir 2L,39.95,31.95
52310,,,,Bike Bottle,CamelBak Podium Ice 21 oz Silver,29.99,21.99
52441,,,,Bike Bottle,CamelBak Podium Chill 21 oz Red,22.99,15.99
52470,CB1NPC61CB,0.819.602/4,,Bike Bottle,Podium Chill 610ml carbon,18.99,13.95
52464,CB1NP71G,0.819.619/8,,Bike Bottle,Podium 710ml smoke,14.99,10.95
52465,CB1NP71CB,0.819.637/0,,Bike Bottle,Podium 710ml clear carbon,14.99,10.95
52458,,,,Bike Bottle,CamelBak Podium 21 oz Smoke,13.99,9.99
52427,,,,Bike Bottle,CamelBak Podium 21 oz Clear Carbon,13.99,9.99
57006,57006,0.819.005/0,,Travel Mug,Forge 12oz (0.35L) blue steel,32.95,29.95
57016,,,,Travel Mug,CamelBak Forge Vacuum 12oz Black Smoke,32.95,29.95
57002,57002,0.819.001/9,,Travel Mug,Forge 16oz (0.47L) black smoke,35.95,32.95
57012,,,,Travel Mug,CamelBak Forge Vacuum 16oz Blaze,35.95,32.95
57038,,,,Travel Mug,CamelBak Forge Divide 16 oz Green Apple,24.95,21.95
57037,,,,Travel Mug,CamelBak Forge Divide 16 oz Frost,24.95,21.95
53626,53355,0.719.374/1,,Bottle,CamelBak eddy .75L Dragonfruit,17.95,13.95
53355,,,,Bottle,CamelBak eddy .75L Charcoal,17.95,13.95
53622,,,,Bottle,CamelBak eddy .75L Rain,17.95,13.95
53642,,,,Bottle,CamelBak Chute .75L Bluegrass,16.95,11.95
53540,,,,Bottle,CamelBak Chute .75L Lime,16.95,11.95
53886,,,,Bottle,CamelBak Chute .75L Charcoal,16.95,11.95
53861,,,,Bottle,Camelbak eddy Kids .4L Unicorns,16.95,14.95
53860,,,,Bottle,Camelbak eddy Kids .4L Sharks,16.95,14.95
90764,,,,Hydration Accessory,Antidote Cleaning Kit **,31.99,22.95
53866,,,,Insulated Cold Bottle,"CamelBak Chute Vacuum Insulated Stainless, 20 oz, Brick",34.95,29.99
53862,,,,Insulated Cold Bottle,"CamelBak Chute Vacuum Insulated Stainless, 20 oz, Honeysuckle",34.95,29.99
53863,,,,Insulated Cold Bottle,"CamelBak Chute Vacuum Insulated Stainless, 20 oz, Jet",34.95,29.99
62411,Hydration Pack,Marathoner 70 oz Electric Blue/Lime Punch INTL,99.95,Hydration Pack,Marathoner 70 oz Electric Blue/Lime Punch INTL,99.95,84.95
