brand,sku,Alternate,ComputerUniverse,ComTech,Conrad,Cyberport,ExpertTechno,Mediamarkt,Notebooksbilliger,Redcoon,Saturn,
Corsair,CH-9000011-DE,http://www.alternate.de/Corsair/Vengeance-K70-Tastatur/html/product/1066462?,http://www.computeruniverse.net/products/90509456/corsair-vengeance-k70.asp,No Match,No Match,https://www.cyberport.de/corsair-vengeance-k70-performance-mechanische-gaming-tastatur-4N24-002_10900.html,No Match,No Match,No Match,No Match,No Match,
Razer,RZ03-00384900-R3G1,http://www.alternate.de/Razer/BlackWidow-Ultimate-2013-Tastatur/html/product/1036892?,http://www.computeruniverse.net/products/90558419/razer-blackwidow-ultimate-2014-edition.asp,No Match,No Match,https://www.cyberport.de/razer-blackwidow-ultimate-2014-gaming-tastatur-4N07-003_10900.html,http://www.expert-technomarkt.de/Marke/Razer/BlackWidow-Ultimate-2013.html,"http://www.mediamarkt.de/mcs/product/RAZER-BlackWidow-%E2%80%93-Mechanical-Gaming-Keyboard--schwarz,48353,464592,1296303.html?langId=-3",No Match,http://www.redcoon.de/B426127-Razer-BLACKWIDOW-Ultimate-2013-DE_Tastaturen?xtmc=razer&xtcr=21,"http://www.saturn.de/mcs/product/RAZER-BlackWidow-%E2%80%93-Mechanical-Gaming-Keyboard--schwarz,48352,241284,1296304.html?langId=-3", 
Roccat,ROC-12-720,http://www.alternate.de/Roccat/Isku-Tastatur/html/product/1023866?,http://www.computeruniverse.net/products/90491352/roccat-isku-illuminated.asp,http://www.comtech.de/Computer-und-Zubehoer/Eingabegeraete/Tastaturen/ROCCAT-Isku-Gaming-Tastatur,No Match,https://www.cyberport.de/roccat-isku-illuminated-gaming-keyboard-4802-65S_10900.html,No Match,"http://www.mediamarkt.de/mcs/product/ROCCAT-Ryos-MK-Glow-,48353,462770,1036111.html?langId=-3",http://www.notebooksbilliger.de/roccat+isku/eqsqid/d84b51b6-854e-400b-8c46-0323cb2074d0,No Match,"http://www.saturn.de/mcs/product/ROCCAT-Isku-Illuminated-Gaming-Keyboard,48352,241284,541733.html?langId=-3", 
Razer,RZ01-01040100-R3G1,http://www.alternate.de/Razer/NAGA-Expert-Maus/html/product/1092983?,http://www.computeruniverse.net/products/90520851/razer-naga-2013-edition.asp,No Match,No Match,https://www.cyberport.de/razer-naga-2013-mmo-gaming-mouse-4817-6DT_10899.html,http://www.expert-technomarkt.de/Computer/Maeuse/Maeuse/New-Naga.html?listtype=search&searchparam=naga&listtype=search&searchparam=naga,"http://www.mediamarkt.de/mcs/product/RAZER-RZ01-01040100-R3G1-NAGA-EU,48353,462756,936582.html?langId=-3",http://www.notebooksbilliger.de/razer+naga+2014/eqsqid/3c83c3d2-0d1b-4726-9692-20125927cb65,No Match,No Match, 
Razer,RZ01-00840100-R3G1,http://www.alternate.de/Razer/DeathAdder-2013-Maus/html/product/1046116?,http://www.computeruniverse.net/products/90498017/razer-deathadder-2013.asp,No Match,No Match,https://www.cyberport.de/razer-deathadder-2013-essential-ergonomic-gaming-mouse-usb-4817-6CQ_10899.html,"http://www.expert-technomarkt.de/Maeuse/Razer-DeathAdder-2013-Schwarz-verkabelt-25-99,99.html?listtype=search&searchparam=Death%20adder&listtype=search&searchparam=Death%20adder","http://www.mediamarkt.de/mcs/product/RAZER-DeathAdder-Gaming-Maus,48353,462769,579749.html?langId=-3",http://www.notebooksbilliger.de/razer+deathadder+2013+essential+ergonomic+gaming+mouse/eqsqid/cf81865d-9b5c-48da-9569-e2f9d19e2283,No Match,"http://www.saturn.de/mcs/product/RAZER-DeathAdder-Gaming-Maus,48352,241282,579750.html?langId=-3", 
Corsair,CH-9000022-EU,http://www.alternate.de/Corsair/Vengeance-M65-FPS-Maus/html/product/1066197?,http://www.computeruniverse.net/products/90502994/corsair-vengeance-m65.asp,No Match,No Match,https://www.cyberport.de/corsair-vengeance-m65-performance-fps-gaming-maus-schwarz-4M27-001_10899.html,http://www.expert-technomarkt.de/Computer/Maeuse/Maeuse/Vengeance-M65.html?listtype=search&searchparam=Vegeance%20m65&listtype=search&searchparam=Vegeance%20m65,No Match,No Match,No Match,No Match, 
Mad-Catz,MCB4370800B2/04/1,http://www.alternate.de/Mad-Catz/R-A-T-7-6-400-dpi-Maus/html/product/1032464?,http://www.computeruniverse.net/products/90480079/mad-catz-r-a-t-7-gaming-mouse.asp,No Match,http://www.conrad.de/ce/de/product/918068/USB-Gaming-Maus-Laser-MadCatz-RAT7-Gewichts-Tuning-Anpassbare-Laenge-Schwarz?ref=searchDetail,https://www.cyberport.de/mad-catz-r-a-t-7-6400-dpi-gaming-mouse-usb-matt-schwarz-4817-64Y_12893.html,No Match,No Match,http://www.notebooksbilliger.de/madcatz+cyborg+rat+7+schwarz+matt/eqsqid/542ac595-fa8b-45b8-af35-66cc6c687c1d,http://www.redcoon.de/B400370-Mad-Catz-RAT7_M%C3%A4use?xtmc=R.A.T+7&xtcr=4,"http://www.saturn.de/mcs/product/MAD-CATZ-R.A.T.-7-Gaming-Maus-black,48352,241282,521384.html?langId=-3", 
Roccat,ROC-11-810,http://www.alternate.de/Roccat/Kone-XTD-Max-Customization-Gaming-Mouse-Maus/html/product/1035341?,http://www.computeruniverse.net/products/90494132/roccat-kone-xtd.asp,http://www.comtech.de/ROCCAT-Kone-XTD-Gaming-Maus_detail_74625.html,No Match,https://www.cyberport.de/roccat-kone-xtd-max-customization-gaming-mouse-4817-6AS_10899.html,No Match,"http://www.mediamarkt.de/mcs/product/ROCCAT-Kone-XTD-%E2%80%93-Max-Customization-Gaming-Maus,48353,462769,525859.html?langId=-3",http://www.notebooksbilliger.de/roccat+kone+xtd+max+customization+gaming+mouse/eqsqid/86f5ee64-bfd1-445d-a48c-73e80fcd1278,No Match,http://www.saturn.de/webapp/wcs/stores/servlet/MultiChannelSearch?storeId=48352&langId=-3&searchProfile=onlineshop&searchParams=&path=&query=Kone+xtd, 
Roccat,ROC-11-700,http://www.alternate.de/Roccat/Kone-Pure-Core-Performance-Gaming-Mouse-Maus/html/product/1035340?,http://www.computeruniverse.net/products/90509676/roccat-kone-kone-pure-core.asp,http://www.comtech.de/Computer-und-Zubehoer/Eingabegeraete/Maeuse/ROCCAT-Kone-Pure-Gaming-Maus,No Match,https://www.cyberport.de/roccat-kone-pure-core-performance-gaming-mouse-4817-6AZ_12893.html,No Match,"http://www.mediamarkt.de/mcs/product/ROCCAT-ROC-11-700-Kone-Pure-Core-Performance-Gaming-Maus,48353,462769,526931.html?langId=-3",http://www.notebooksbilliger.de/roccat+kone+pure+core+performance+gaming+mouse/eqsqid/ece69f18-3c6f-4bfa-972f-c5a22ea9164d,No Match,"http://www.saturn.de/mcs/product/ROCCAT-ROC-11-700-Kone-Pure-Core-Performance-Gaming-Maus,48352,241282,526932.html?langId=-3", 
Roccat,ROC-11-710,http://www.alternate.de/Roccat/Kone-Pure-Optical-4000dpi-OPT-U-Maus/html/product/1086794?,No Match,http://www.comtech.de/Computer-und-Zubehoer/Eingabegeraete/Maeuse/ROCCAT-Kone-Pure-Optical-Gaming-Maus,No Match,https://www.cyberport.de/roccat-kone-pure-optical-core-performance-gaming-mouse-4817-6DN_12893.html,No Match,No Match,http://www.notebooksbilliger.de/roccat+kone+pure+optical/eqsqid/26966013-0ac0-4661-a944-1902724044cf,No Match,No Match,
SteelSeries,62150,http://www.alternate.de/SteelSeries/Sensei-Maus/html/product/893408?,No Match,No Match,No Match,https://www.cyberport.de/steelseries-sensei-gaming-laser-mouse-silber-4M10-004_12893.html,No Match,"http://www.mediamarkt.de/mcs/product/STEELSERIES-Sensei-Gaming-Maus,48353,462769,265991.html?langId=-3",http://www.notebooksbilliger.de/steelseries+sensei/eqsqid/cd9f38ad-ede1-47dd-9af1-38bf1d9b02c9,No Match,No Match, 
Roccat,ROC-11-811,http://www.alternate.de/Roccat/Kone-XTD-Optical-6400dpi-Maus/html/product/1149044?,No Match,No Match,No Match,No Match,No Match,"http://www.mediamarkt.de/mcs/product/ROCCAT-KONE-XTD---Max-Customization-Gaming-Maus,48353,462769,1390913.html?langId=-3",No Match,No Match,"http://www.saturn.de/mcs/product/ROCCAT-KONE-XTD---Max-Customization-Gaming-Maus,48352,397848,1390914.html?langId=-3", 
