area,name,chain,price,rooms,country
"Cocal Beach, 82100 Little Corn Island, Nicaragua","Little Corn Beach and Bungalow",Independent,,"Hotel Rooms: 10",Nicaragua
"km 159 carretera El Viejo-El Congo 10 km al sureste Comarca Aserradores, El Viejo, Chinandega., 10000 Aposentillo, Nicaragua","Marina Puesta del Sol",Independent,,"Hotel Rooms: 19",Nicaragua
"Del Cementerio 100vrs al Norte, 1.5km al Oeste, Playa Santana - Popoyo, 00113 Popoyo, Nicaragua","Buena Onda Beach Resort",Independent,,"Hotel Rooms: 8",Nicaragua
"Isletas de Granada, Isletas de Granada, Nicaragua","Isleta El Espino",Independent,,"Hotel Rooms: 3",Nicaragua
"Brisas Del Mar Nica, 00011 Jiquilillo, Nicaragua","Brisas Del Mar Nicaragua",Independent,,"Hotel Rooms: 14",Nicaragua
"Comarca Pacaya, 10000 La Laguna, Nicaragua","Pacaya Lodge and Spa",Independent,,"Hotel Rooms: 26",Nicaragua
"Km 16.7  Carretera Ticuantepe, 47600 Ticuantepe, Nicaragua","Campo Royale Resort",Independent,,"Hotel Rooms: 20",Nicaragua
"Villa el Carmen. Km 49 road to Masachapa. 11 Km West, 43000 San Diego, Nicaragua","Gran Pacifica's Vida del Mar Beach and Golf Resort",Independent,,"Hotel Rooms: 22",Nicaragua
"Playa Montelimar, 01262 Montelimar, Nicaragua","Barceló Montelimar Beach","Hotel Chain:
Barceló Hotels & Resorts",,"Hotel Rooms: 293,",Nicaragua
"2KM west of Bridge, Las Salinas, Tola, Rivas, 48500 Popoyo, Nicaragua","La Jolla de Guasacate",Independent,,"Hotel Rooms: 11",Nicaragua
"Km 9.5 Carretera Norte Managua Nicaragua, 11052 Managua, Nicaragua","Camino Real Managua",Independent,,"Hotel Rooms: 119",Nicaragua
"Playas de Pochomil, 355-533-3 Pochomil, Nicaragua","Hotel Vistamar Beachfront Resort & Conference Center",Independent,,"Hotel Rooms: 42",Nicaragua
"Camino de los Bueyes, Nimboja Numero 2, N/A Masaya, Nicaragua","Hacienda Puerta del Cielo Eco Lodge & Spa",Independent,,"Hotel Rooms: 7",Nicaragua
"De la Parroquia 1 1/2 cuadra del este, 050-088-4 San Juan del Sur, Nicaragua","Pelican Eyes Resort and Spa",Independent,,"Hotel Rooms: 52",Nicaragua
"Km 10 carretera las salinas Rivas Nicaragua, 00113 El Gigante, Nicaragua","Guacalito de la Isla Luxury Ocean Villas & apartments",Independent,,"Hotel Rooms: 13",Nicaragua
"Guacalito de la Isla, 00111 El Gigante, Nicaragua","Mukul Beach, Golf & Spa",Independent,,"Hotel Rooms: 37",Nicaragua
"Zona Costera, Contiguo a Casa Marina y Frente Restaurante Joseline, 47000 San Juan del Sur, Nicaragua","HC Suites Hotel",Independent,,"Hotel Rooms: 20",Nicaragua
"Pink Panther Road, 050-088-4 Popoyo, Nicaragua","Equilibrio Yoga Art Surf Resort",Independent,,"Hotel Rooms: 6",Nicaragua
"Playa Marsella 0001, 48600 San Juan del Sur, Nicaragua","Marsella Beach Front",Independent,,"Hotel Rooms: 14",Nicaragua
"600 Meters North of Holy Grinds, 48500 Popoyo, Nicaragua","Soma Surf Resort",Independent,,"Hotel Rooms: 5",Nicaragua
