"note","price","product_id","updated","zipcode"
"success","4.09","136010127","2016-11-09 09:10:42","90808"
"success","2.19","138350084","2016-11-09 09:10:42","90808"
"success","4.69","960050171","2016-11-09 09:10:42","90808"
"success","3.99","120020079","2016-11-09 09:10:42","90808"
"success","2.99","138250265","2016-11-09 09:10:42","90808"
"success","5.49","137010160","2016-11-09 09:10:42","90808"
"success","4.09","136010127","2016-11-09 09:10:42","75204"
"success","2.19","138350084","2016-11-09 09:10:42","75204"
"success","4.69","960050171","2016-11-09 09:10:42","75204"
"success","3.99","120020079","2016-11-09 09:10:42","75204"
"success","2.99","138250265","2016-11-09 09:10:42","75204"
"success","5.49","137010160","2016-11-09 09:10:42","75204"
"success","4.09","136010127","2016-11-09 09:10:42","75224"
"success","2.19","138350084","2016-11-09 09:10:42","75224"
"success","4.69","960050171","2016-11-09 09:10:42","75224"
"success","3.99","120020079","2016-11-09 09:10:42","75224"
"success","2.99","138250265","2016-11-09 09:10:42","75224"
"success","5.49","137010160","2016-11-09 09:10:42","75224"
"success","4.09","136010127","2016-11-09 09:10:42","20001"
"success","2.19","138350084","2016-11-09 09:10:42","20001"
"success","4.69","960050171","2016-11-09 09:10:42","20001"
"success","3.99","120020079","2016-11-09 09:10:42","20001"
"success","2.99","138250265","2016-11-09 09:10:42","20001"
"success","5.49","137010160","2016-11-09 09:10:42","20001"
"success","4.09","136010127","2016-11-09 09:10:42","94110"
"success","2.19","138350084","2016-11-09 09:10:42","94110"
"success","4.69","960050171","2016-11-09 09:10:42","94110"
"success","3.99","120020079","2016-11-09 09:10:42","94110"
"success","2.99","138250265","2016-11-09 09:10:42","94110"
"success","5.49","137010160","2016-11-09 09:10:42","94110"
"success","4.09","136010127","2016-11-09 09:10:42","94589"
"success","2.19","138350084","2016-11-09 09:10:42","94589"
"success","4.69","960050171","2016-11-09 09:10:42","94589"
"success","3.99","120020079","2016-11-09 09:10:42","94589"
"success","2.99","138250265","2016-11-09 09:10:42","94589"
"success","5.49","137010160","2016-11-09 09:10:42","94589"
"success","4.09","136010127","2016-11-09 09:10:42","85042"
"success","2.19","138350084","2016-11-09 09:10:42","85042"
"success","4.69","960050171","2016-11-09 09:10:42","85042"
"success","3.99","120020079","2016-11-09 09:10:42","85042"
"success","2.99","138250265","2016-11-09 09:10:42","85042"
"success","5.49","137010160","2016-11-09 09:10:42","85042"
"success","4.09","136010127","2016-11-09 09:10:42","85004"
"success","2.19","138350084","2016-11-09 09:10:42","85004"
"success","4.69","960050171","2016-11-09 09:10:42","85004"
"success","3.99","120020079","2016-11-09 09:10:42","85004"
"success","2.99","138250265","2016-11-09 09:10:42","85004"
"success","5.49","137010160","2016-11-09 09:10:42","85004"
"success","4.09","136010127","2016-11-09 09:10:42","92509"
"success","2.19","138350084","2016-11-09 09:10:42","92509"
"success","4.69","960050171","2016-11-09 09:10:42","92509"
"success","3.99","120020079","2016-11-09 09:10:42","92509"
"success","2.99","138250265","2016-11-09 09:10:42","92509"
"success","5.49","137010160","2016-11-09 09:10:42","92509"
"success","4.09","136010127","2016-11-09 09:10:42","98112"
"success","2.19","138350084","2016-11-09 09:10:42","98112"
"success","4.69","960050171","2016-11-09 09:10:42","98112"
"success","3.99","120020079","2016-11-09 09:10:42","98112"
"success","2.99","138250265","2016-11-09 09:10:42","98112"
"success","5.49","137010160","2016-11-09 09:10:42","98112"
"success","4.09","136010127","2016-11-09 09:10:42","98007"
"success","2.19","138350084","2016-11-09 09:10:42","98007"
"success","4.69","960050171","2016-11-09 09:10:42","98007"
"success","3.99","120020079","2016-11-09 09:10:42","98007"
"success","2.99","138250265","2016-11-09 09:10:42","98007"
"success","5.49","137010160","2016-11-09 09:10:42","98007"
"success","4.09","136010127","2016-11-09 09:10:42","92103"
"success","2.19","138350084","2016-11-09 09:10:42","92103"
"success","4.69","960050171","2016-11-09 09:10:42","92103"
"success","3.99","120020079","2016-11-09 09:10:42","92103"
"success","2.99","138250265","2016-11-09 09:10:42","92103"
"success","5.49","137010160","2016-11-09 09:10:42","92103"
"success","4.09","136010127","2016-11-09 09:10:42","92101"
"success","2.19","138350084","2016-11-09 09:10:42","92101"
"success","4.69","960050171","2016-11-09 09:10:42","92101"
"success","3.99","120020079","2016-11-09 09:10:42","92101"
"success","2.99","138250265","2016-11-09 09:10:42","92101"
"success","5.49","137010160","2016-11-09 09:10:42","92101"
"success","4.09","136010127","2016-11-09 09:10:42","92102"
"success","2.19","138350084","2016-11-09 09:10:42","92102"
"success","4.69","960050171","2016-11-09 09:10:42","92102"
"success","3.99","120020079","2016-11-09 09:10:42","92102"
"success","2.99","138250265","2016-11-09 09:10:42","92102"
"success","5.49","137010160","2016-11-09 09:10:42","92102"
"success","4.09","136010127","2016-11-09 09:10:42","33606"
"success","2.19","138350084","2016-11-09 09:10:42","33606"
"success","4.69","960050171","2016-11-09 09:10:42","33606"
"success","3.99","120020079","2016-11-09 09:10:42","33606"
"success","2.99","138250265","2016-11-09 09:10:42","33606"
"success","5.49","137010160","2016-11-09 09:10:42","33606"
"success","4.09","136010127","2016-11-09 09:10:42","21214"
"success","2.19","138350084","2016-11-09 09:10:42","21214"
"success","4.69","960050171","2016-11-09 09:10:42","21214"
"success","3.99","120020079","2016-11-09 09:10:42","21214"
"success","2.99","138250265","2016-11-09 09:10:42","21214"
"success","5.49","137010160","2016-11-09 09:10:42","21214"
"success","4.09","136010127","2016-11-09 09:10:42","21227"
"success","2.19","138350084","2016-11-09 09:10:42","21227"
"success","4.69","960050171","2016-11-09 09:10:42","21227"
"success","3.99","120020079","2016-11-09 09:10:42","21227"
"success","2.99","138250265","2016-11-09 09:10:42","21227"
"success","5.49","137010160","2016-11-09 09:10:42","21227"
